,Chlorocebus-aethiops,Papio-anubis,Pan-troglodytes,Colobus-guereza,Pygathrix-nemaeus,Symphalangus-syndactylus,Gorilla-gorilla,Alouatta-sara,Callithrix-pygmaea,Pongo-pygmaeus,Erythrocebus-patas,Pithecia-pithecia,Ateles-geoffroyi,Saimiri-sciureus,Saguinus-labiatus,Callicebus-donacophilus,Lagothrix-lagotricha
Chlorocebus-aethiops,0.0,71.0,151.0,95.0,97.0,164.0,152.0,247.0,267.0,151.0,86.0,260.0,231.0,286.0,266.0,273.0,233.0
Papio-anubis,71.0,0.0,99.0,41.0,43.0,108.0,102.0,217.0,221.0,100.0,39.0,210.0,203.0,239.0,222.0,225.0,206.0
Pan-troglodytes,151.0,99.0,0.0,75.0,77.0,54.0,14.0,193.0,204.0,37.0,89.0,191.0,187.0,214.0,204.0,204.0,190.0
Colobus-guereza,95.0,41.0,75.0,0.0,15.0,92.0,83.0,201.0,208.0,83.0,41.0,195.0,186.0,222.0,207.0,207.0,189.0
Pygathrix-nemaeus,97.0,43.0,77.0,15.0,0.0,96.0,87.0,207.0,213.0,89.0,44.0,200.0,192.0,223.0,213.0,211.0,194.0
Symphalangus-syndactylus,164.0,108.0,54.0,92.0,96.0,0.0,57.0,198.0,209.0,56.0,103.0,194.0,189.0,217.0,205.0,206.0,193.0
Gorilla-gorilla,152.0,102.0,14.0,83.0,87.0,57.0,0.0,197.0,209.0,39.0,90.0,193.0,187.0,217.0,209.0,206.0,192.0
Alouatta-sara,247.0,217.0,193.0,201.0,207.0,198.0,197.0,0.0,273.0,370.0,382.0,271.0,112.0,289.0,275.0,265.0,124.0
Callithrix-pygmaea,267.0,221.0,204.0,208.0,213.0,209.0,209.0,273.0,0.0,211.0,220.0,83.0,82.0,101.0,52.0,81.0,91.0
Pongo-pygmaeus,151.0,100.0,37.0,83.0,89.0,56.0,39.0,370.0,211.0,0.0,89.0,194.0,186.0,217.0,204.0,209.0,185.0
Erythrocebus-patas,86.0,39.0,89.0,41.0,44.0,103.0,90.0,382.0,220.0,89.0,0.0,211.0,206.0,239.0,226.0,227.0,209.0
Pithecia-pithecia,260.0,210.0,191.0,195.0,200.0,194.0,193.0,271.0,83.0,194.0,211.0,0.0,86.0,104.0,85.0,58.0,91.0
Ateles-geoffroyi,231.0,203.0,187.0,186.0,192.0,189.0,187.0,112.0,82.0,186.0,206.0,86.0,0.0,257.0,243.0,237.0,54.0
Saimiri-sciureus,286.0,239.0,214.0,222.0,223.0,217.0,217.0,289.0,101.0,217.0,239.0,104.0,257.0,0.0,102.0,102.0,100.0
Saguinus-labiatus,266.0,222.0,204.0,207.0,213.0,205.0,209.0,275.0,52.0,204.0,226.0,85.0,243.0,102.0,0.0,84.0,89.0
Callicebus-donacophilus,273.0,225.0,204.0,207.0,211.0,206.0,206.0,265.0,81.0,209.0,227.0,58.0,237.0,102.0,84.0,0.0,81.0
Lagothrix-lagotricha,233.0,206.0,190.0,189.0,194.0,193.0,192.0,124.0,91.0,185.0,209.0,91.0,54.0,100.0,89.0,81.0,0.0
